aya_id,page,x,y
1,3,152,250
2,14,615,1082
3,14,428,1081
4,14,288,1082
5,32,595,1082
6,35,641,952
7,84,306,458
8,98,107,384
9,140,332,668
10,148,528,1082
11,148,441,1082
12,157,583,1081
13,157,464,1081
14,157,279,1081
15,166,244,941
16,167,174,1023
17,174,81,251
18,196,453,951
19,198,346,605
20,204,637,110
21,206,320,882
22,207,126,884
23,217,149,1028
24,218,317,809
25,227,160,1016
26,256,630,1082
27,256,415,1082
28,257,148,181
29,294,163,1081
30,344,249,820
31,353,409,1024
32,378,667,1081
33,402,379,388
34,407,454,1082
35,421,601,42
36,424,292,387
37,426,112,600
38,450,510,882
39,451,536,732
40,463,79,744
41,467,509,1082
42,467,235,1082
43,469,508,1081
44,469,369,1081
45,492,507,110
46,506,411,1081
47,508,622,1024
48,511,639,392
49,514,442,601
